SITECODE,DRNAREA_mi2
ILNE8572_B,0.01
ILNE8572_B,0.01
ILNE8578_B,0.02
ILNE8578_B,0.02
ILNE8578_B,0.02
ILNE8578_B,0.02
ILNE8579_B,0.05
ILNE8579_B,0.05
ILNE8579_B,0.05
ILNE8579_B,0.05
ILUV3350,3.62
ILUV3353,2.87
ILUV3353,2.93
INNE667_V,29.479
INNE667_V,29.479
INNE667_V,29.479
INNE667_V,29.479
INNE752_B,37.346
INNE752_B,37.346
INNE752_B,37.346
INNE752_B,37.346
INNE8239_B,0.097
INNE8239_B,0.097
INNE8239_B,0.097
INNE8239_B,0.097
INNE8242_B,0.988
INNE8242_B,0.988
INNE8242_B,0.988
INNE8242_B,0.988
INNE8245_B,0.012
INNE8245_B,0.012
INNE8245_B,0.012
INNE8245_B,0.012
INNE8252_B,0.169
INNE8252_B,0.169
INNE8252_B,0.169
INNE8252_B,0.169
INNE8584_V,0.002
INNE8584_V,0.002
INNE8584_V,0.002
INNE8584_V,0.002
INNE8860_B,19.087
INNE8860_B,19.087
INNE8860_B,19.087
INNE8860_B,19.087
INNE9598_V,3.005
INNE9599_V,0.007
INNE9599_V,0.007
INNE9599_V,0.007
INNE9599_V,0.007
INNE9600_VO,0.017
INNE9602_V,298.466
INNE9603_V,81.584
INNE9603_V,81.584
INNE9603_V,81.584
INNE9603_V,81.584
INNE9604_V,223.097
INNE9604_V,223.097
INNE9604_V,223.097
INNE9604_V,223.097
INNE9606_V,0.715
INNE9606_V,0.715
INNE9606_V,0.715
INNE9606_V,0.715
INNE9607_V,0.011
INNE9607_V,0.011
INNE9607_V,0.011
INNE9607_V,0.011
INNE9608_V,0.048
KSCB102,0.75
KSCB102,0.76
KSCB102,0.76
KSCB102,0.75
KSCB102,0.75
KSCB102,0.75
KSCB103,3.72
KSCB103,3.72
KSCB103,3.69
KSCB103,0.06
KSCB103,3.72
KSCB103,3.72
KSCB104,2823.35
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB104,0.23
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB16,0.34
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB17,0.06
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB18,0.09
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB20,0.86
KSCB21,0.39
KSCB21,0.39
KSCB21,0.39
KSCB21,0.38
KSCB21,0.39
KSCB21,0.39
KSCB22,961.45
KSCB22,961.45
KSCB22,961.45
KSCB22,961.46
KSCB22,961.45
KSCB22,961.45
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB23,389.17
KSCB25,1.51
KSCB25,1.51
KSCB25,1.51
KSCB25,1.51
KSCB25,1.56
KSCB25,1.51
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB26,2002.44
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB27,1969.52
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCB28,6.75
KSCV2959,0.47
KSCV3228,0.46
KSCV3231,0.3
KSCV3244,0.49
KSCV3245,0.29
KSCV3246,0.33
KSCV3247,0.36
KSCV3248,0.7
KSCV3250,0.06
KSCV730,1.62
KSCV814,115.82
KSUV2926,0.1
KSUV888,15.44
KSUV938,16.6
KSUV944,18.28
KYNE1767_V,10.6
KYNE1767_V,10.6
KYNE1767_V,10.6
KYNE1767_V,10.6
KYNE8221_B,0.36
KYNE8221_B,0.36
KYNE8221_B,0.36
KYNE8221_B,0.36
KYNE8224_B,0.0291
KYNE8224_B,0.0291
KYNE8224_B,0.0291
KYNE8224_B,0.0291
KYNE8228_B,0.0335
KYNE8228_B,0.0335
KYNE8228_B,0.0335
KYNE8228_B,0.0335
KYNE8231_B,0.29
KYNE8231_B,0.29
KYNE8231_B,0.29
KYNE8231_B,0.29
KYNE8234_B,0.37
KYNE8234_B,0.37
KYNE8234_B,0.37
KYNE8234_B,0.37
KYNE8235_B,0.0355
KYNE8235_B,0.0355
KYNE8235_B,0.0355
KYNE8235_B,0.0355
KYNE8236_B,0.0364
KYNE8236_B,0.0364
KYNE8236_B,0.0364
KYNE8236_B,0.0364
KYNE8255_B,0.0304
KYNE8255_B,0.0304
KYNE8255_B,0.0304
KYNE8255_B,0.0304
KYNE8386_B,5.83
KYNE8386_B,5.83
KYNE8386_B,5.83
KYNE8386_B,5.83
KYNE8388_B,0.57
KYNE8388_B,0.57
KYNE8388_B,0.57
KYNE8388_B,0.57
KYNE8785_B,0.0334
KYNE8785_B,0.0334
KYNE8785_B,0.0334
KYNE8785_B,0.0334
KYNE9129_B,0.3
KYNE9129_B,0.3
KYNE9129_B,0.3
KYNE9129_B,0.3
KYNE9566_V,0.4
KYNE9566_V,0.4
KYNE9566_V,0.4
KYNE9566_V,0.4
LASE9004_B,0.03
LASE9004_B,0.03
LASE9004_B,0.03
LASE9004_B,0.03
LASE9446_B,8.58
LASE9446_B,8.58
LASE9446_B,8.58
LASE9446_B,8.58
LASE9447_B,0.07
LASE9447_B,0.07
LASE9447_B,0.07
LASE9447_B,0.07
LASE9449_B,0.04
LASE9449_B,0.04
LASE9449_B,0.04
LASE9449_B,0.04
LASE9452_B,0.04
LASE9452_B,0.04
LASE9452_B,0.04
LASE9452_B,0.04
LASE9453_B,0.79
LASE9453_B,0.79
LASE9453_B,0.79
LASE9453_B,0.79
LASE9455_B,0.7
LASE9455_B,0.7
LASE9455_B,0.7
LASE9455_B,0.7
LASE9456_B,4.51
LASE9456_B,4.51
LASE9456_B,4.51
LASE9456_B,4.51
LASE9457_B,8.88
LASE9457_B,8.88
LASE9457_B,8.88
LASE9457_B,8.88
LASE9462_B,0.13
LASE9462_B,0.13
LASE9462_B,0.13
LASE9462_B,0.13
MANE8868_BO,1.91
MANE8868_BO,1.91
MANE8868_BO,1.91
MANE8868_BO,1.91
MANE8952_V,0.085
MANE8952_V,0.085
MANE8952_V,0.085
MANE8952_V,0.085
MANE8955_V,0.25
MANE8955_V,0.25
MANE8955_V,0.25
MANE8955_V,0.25
MANE9515_B,0.58
MANE9515_B,0.58
MANE9515_B,0.58
MANE9515_B,0.58
MANE9517_B,0.585
MANE9517_B,0.585
MANE9517_B,0.585
MANE9517_B,0.585
MDNE3514_B,4.63
MDNE3514_B,4.63
MDNE3514_B,4.63
MDNE3514_B,4.63
MDNE8173_V,0.0404
MDNE8173_V,0.0404
MDNE8173_V,0.0404
MDNE8173_V,0.0404
MDNE8175_V,0.0156
MDNE8175_V,0.0156
MDNE8175_V,0.0156
MDNE8175_V,0.0156
MDNE9047_B,7.71
MDNE9047_B,7.71
MDNE9047_B,7.71
MDNE9047_B,7.71
MDNE9116_V,0.017
MDNE9116_V,0.017
MDNE9116_V,0.017
MDNE9116_V,0.017
MDNE9117_V,0.12
MDNE9117_V,0.12
MDNE9117_V,0.12
MDNE9117_V,0.12
MDNE9119_V,0.0414
MDNE9119_V,0.0414
MDNE9119_V,0.0414
MDNE9119_V,0.0414
MDNE9120_V,0.032
MDNE9120_V,0.032
MDNE9120_V,0.032
MDNE9120_V,0.032
MDNE9124_V,0.0214
MDNE9124_V,0.0214
MDNE9124_V,0.0214
MDNE9124_V,0.0214
MDNE9684_V,0.35
MDNE9684_V,0.35
MDNE9684_V,0.35
MDNE9684_V,0.35
MDNE9685_V,0.0395
MDNE9685_V,0.0395
MDNE9685_V,0.0395
MDNE9685_V,0.0395
MENE4957_V,1.36
MENE4957_V,1.36
MENE4957_V,1.36
MENE4957_V,1.36
MENE4960_V,0.11
MENE4960_V,0.11
MENE4960_V,0.11
MENE4960_V,0.11
MENE4961_V,0.06
MENE4961_V,0.06
MENE4961_V,0.06
MENE4961_V,0.06
MENE8880_B,0.01
MENE8880_B,0.01
MENE8880_B,0.01
MENE8880_B,0.01
MENE8881_B,0.03
MENE8881_B,0.03
MENE8881_B,0.03
MENE8881_B,0.03
MENE8948_B,0.27
MENE8948_B,0.27
MENE8948_B,0.27
MENE8948_B,0.27
MENE8950_B,0.6
MENE8950_B,0.6
MENE8950_B,0.6
MENE8950_B,0.6
MINE1099_B,10.9
MINE1099_B,10.9
MINE1099_B,10.9
MINE1099_B,10.9
MINE1125_V,17.5
MINE1125_V,17.5
MINE1125_V,17.5
MINE1125_V,17.5
MINE1140_V,89.3
MINE1140_V,89.3
MINE1140_V,89.3
MINE1140_V,89.3
MINE8825_V,0.2
MINE8825_V,0.2
MINE8825_V,0.2
MINE8825_V,0.2
MINE8835_V,2.9
MINE8835_V,2.9
MINE8835_V,2.9
MINE8835_V,2.9
MINE8886_BO,0.07
MINE8886_BO,0.07
MINE8886_BO,0.07
